ATTEMPT, Time, Performance
5,310.1201,27.17268
5,320.1209,27.17268
5,330.1273,28.46414
5,340.1263,36.12691
5,350.1268,37.24845
5,360.1293,37.24845
5,370.1313,36.02014
5,380.132,35.52736
5,390.1329,33.14771
5,400.1391,35.14487
5,410.1389,34.85897
5,420.1403,34.85897
5,430.1429,34.74574
5,440.1449,33.81438
5,450.147,34.8354
5,460.1499,34.71196
5,470.1521,34.72483
5,480.1595,34.76794
5,490.1624,31.98238
5,500.1655,29.67577
5,510.1664,29.76629
5,520.1678,30.31847
5,530.1682,29.64082
5,540.1787,28.63364
5,550.1816,31.31377
5,560.1847,32.84552
5,570.1886,32.90235
5,580.1986,32.78825
5,590.1992,32.45913
ATTEMPT, Time, Performance
6,19.71424,23.19549
6,29.70635,22.86517
6,39.70742,22.48697
6,49.72109,22.36097
6,59.72136,22.35988
6,69.72269,24.65754
6,79.72489,24.71377
6,89.72822,24.29138
6,99.7287,24.29138
6,109.7297,23.04438
6,119.7374,23.78639
6,129.7383,24.53579
6,139.7423,24.53567
6,149.7458,24.53567
6,159.7494,24.44128
6,169.7509,24.6776
6,179.7582,25.90486
6,189.7621,26.19628
6,199.7641,26.19628
6,209.7695,26.19628
6,219.7837,24.86977
6,229.7833,25.96329
6,239.7854,25.10953
6,249.7873,25.0952
6,259.7903,25.0952
6,269.8011,24.71581
6,279.8014,24.21734
6,289.8018,24.69394
6,299.805,24.7019
6,309.8059,24.69394
6,319.8093,24.58405
6,329.8074,24.76905
6,339.8097,26.0668
6,349.8188,26.07786
6,359.819,26.07786
6,369.8198,25.98339
6,379.8228,25.40105
6,411.1872,4.52403
6,421.1891,4.52403
6,431.1976,4.52403
6,441.1989,4.52403
6,451.1989,3.949369
6,461.1993,8.747556
6,471.1978,12.56716
6,481.1982,12.34985
6,491.1996,11.74578
6,501.2002,11.41382
6,511.2065,7.731574
6,521.2087,14.41144
6,531.2096,14.09601
6,541.214,13.96128
6,551.2158,13.96128
6,561.2182,9.689595
6,571.2214,15.17438
6,581.2238,14.77337
6,591.224,14.62842
ATTEMPT, Time, Performance
7,19.70502,22.45954
7,29.72347,21.93219
7,39.73781,21.86947
7,49.72268,21.74431
7,59.72497,20.63032
7,69.72735,23.31124
7,79.73595,24.39277
7,89.74007,24.0586
7,99.74212,23.95891
7,109.7448,23.07698
7,119.7473,26.11803
7,129.7553,27.00933
7,139.7587,27.00933
7,149.7614,27.00933
7,159.7628,26.84257
7,169.7658,23.65625
7,179.7801,25.34294
7,189.7805,25.34294
7,199.781,25.34294
7,209.7849,25.34294
7,219.7857,23.68774
7,229.7943,24.41449
7,239.7961,24.30345
7,249.799,24.26735
7,259.7997,24.26735
7,269.8023,23.20333
7,279.8145,22.67116
7,289.816,23.19669
7,299.8186,23.11006
7,309.8202,22.91462
7,319.8242,22.7704
7,329.8242,22.96472
7,339.8345,26.96554
7,349.8363,26.78222
7,359.8373,26.32851
7,369.8484,26.20448
7,379.8458,25.37786
7,389.847,22.64048
7,399.8569,24.40929
7,409.8573,24.37008
7,419.8597,24.23614
7,429.8628,24.06663
7,439.8673,24.98912
7,449.8676,23.79678
7,459.8767,22.65355
7,469.8788,22.80221
7,479.88,22.42567
7,489.8801,22.16366
7,499.8835,26.10868
7,509.8842,23.83158
7,519.8872,22.62543
7,529.9002,21.69967
7,539.9001,21.9091
7,549.9003,23.82204
7,559.9022,23.77924
7,569.9039,23.40213
7,579.9067,22.84163
7,589.916,21.68733
7,599.9196,22.73014
8,20.00903,23.72374
8,30.00977,23.21659
8,40.01758,23.00688
8,50.03046,22.85366
8,60.03204,21.85751
8,70.04163,22.32228
8,80.03741,22.35595
8,90.04785,22.10808
8,100.0508,21.85779
8,110.0516,20.97562
8,120.0537,21.48361
8,130.0638,23.30186
8,140.0694,22.64132
8,150.0717,22.51085
8,160.0746,22.08105
8,170.0815,22.25863
8,180.087,22.24038
8,190.0881,22.05314
8,200.089,21.77633
8,210.0909,21.18745
8,220.1091,21.19759
8,230.1104,23.06969
8,240.1129,22.59339
8,250.1147,22.58931
8,260.1202,22.41514
8,270.1349,30.54518
8,280.1339,28.30543
8,290.137,29.23825
8,300.1544,28.30248
8,310.1558,29.05672
8,320.1725,28.89197
8,330.1757,28.00402
8,340.1709,28.58883
8,350.1754,28.46958
8,360.1926,27.75283
8,370.1959,26.89117
8,380.1975,25.20824
8,390.2104,28.4267
8,400.209,27.99489
