ATTEMPT NO 2,
94.60899, 60.01854
95.10709, 60.03683
95.60753, 57.84472
96.10817, 58.21767
96.60938, 58.31862
97.11645, 56.33282
97.61897, 54.71296
98.12153, 54.74792
98.62266, 50.25829
99.1233, 52.66312
99.62361, 47.86251
100.1268, 49.83327
100.6274, 45.01551
101.1277, 45.5089
101.6304, 45.86275
102.1377, 50.51267
102.6383, 59.51772
103.1389, 56.74779
103.6416, 61.02219
104.1423, 61.05277
104.6435, 63.61679
105.1438, 63.61602
105.6466, 61.02264
106.1479, 60.75491
106.649, 60.80017
107.1511, 58.49857
107.657, 58.25869
108.1597, 57.51203
108.6724, 60.463
109.1697, 61.0778
109.6716, 61.49586
110.1759, 64.31895
110.6793, 61.94308
111.1801, 62.02843
111.6834, 62.39151
112.1838, 64.67898
112.6869, 64.38061
113.1878, 61.87888
113.6909, 61.89957
114.1921, 59.98556
114.6992, 62.37362
115.1999, 59.8718
115.7003, 62.16166
116.2006, 62.27662
116.7015, 62.39035
117.2045, 62.44093
117.7075, 62.82417
118.2104, 60.92911
118.7108, 54.47845
119.2119, 54.56459
119.7123, 56.76125
120.216, 56.8419
120.7212, 56.56417
121.221, 54.57435
121.7219, 53.8326
122.2241, 51.86562
122.7259, 45.25413
123.2282, 50.3091
123.7302, 52.58674
124.2358, 56.82274
124.7375, 62.84541
125.2396, 62.90548
125.745, 63.29482
126.2463, 65.45103
126.7467, 63.25535
127.2471, 63.28577
127.7498, 64.04045
128.2505, 66.06809
128.7567, 63.94733
129.258, 62.4889
129.7603, 63.15483
130.2612, 65.0257
130.763, 66.06242
131.2635, 64.40676
131.7669, 64.51379
132.2699, 64.80291
132.7719, 64.94186
133.2776, 65.01134
133.7781, 62.54429
134.279, 62.19012
197.9699, 62.24825
198.4299, 64.53756
ATTEMPT NO 5
Time, Mean Performance
41.64555, 57.73864
42.14661, 59.31234
42.64702, 61.37212
43.14714, 61.77614
43.64906, 62.09864
44.14969, 62.14708
44.65028, 61.53384
45.15487, 61.58242
45.657, 61.903
46.1576, 62.18953
46.65889, 62.50743
47.16148, 61.54008
47.70746, 61.50785
48.18986, 61.51129
48.70904, 62.18024
49.20628, 62.8032
49.70649, 62.51997
50.2067, 60.39997
50.70736, 60.40657
51.20798, 58.19196
51.71019, 60.39505
52.21513, 58.09856
52.71614, 58.09904
53.21998, 58.44504
53.72283, 60.6961
54.22384, 60.7012
54.72703, 58.84779
55.22778, 56.63642
55.73131, 56.64502
56.23806, 54.4482
56.7387, 54.41284
57.23965, 52.14848
57.74181, 52.13589
58.24179, 52.14328
58.74413, 49.85363
59.24415, 53.65624
59.74677, 51.27026
60.24828, 52.98152
60.75033, 51.23686
61.25557, 51.27749
61.75869, 56.50845
62.25917, 58.41562
62.7595, 58.33234
63.25949, 60.87538
63.76067, 60.8827
64.26157, 62.7579
64.76236, 59.92917
65.26572, 59.26743
65.76596, 59.1662
66.26755, 59.53034
66.76764, 62.09252
67.26846, 62.35265
67.76846, 61.96515
68.27106, 61.68899
68.77676, 61.65866
69.28007, 61.95885
69.78036, 61.97691
70.28238, 62.59499
70.78484, 62.95004
71.28629, 63.26991
71.78755, 58.7907
72.29035, 58.17152
72.7906, 58.17606
73.29538, 60.44426
73.79736, 56.46162
74.29735, 56.78618
74.79916, 58.77544
75.29929, 63.19414
75.80235, 61.02856
76.30417, 56.65788
76.80631, 56.95565
77.30733, 56.95794
77.81043, 56.82896
78.31085, 54.62712
78.81497, 56.83416
79.31532, 54.50859
79.8158, 52.32926
80.31949, 49.8878
80.82159, 53.64222
81.32286, 53.66475
81.82427, 53.3019
82.3251, 53.67773
82.82754, 56.19997
83.3302, 60.63873
83.8303, 62.9227
84.33588, 62.96864
84.83606, 63.12152
85.34122, 63.15393
85.84502, 62.84598
86.34804, 62.22577
86.85063, 59.43262
87.35689, 59.42093
87.86072, 57.61864
88.36343, 59.81455
88.86402, 59.17847
89.36651, 59.21
89.86888, 62.56374
90.36945, 62.51494
90.87868, 62.9013
91.37946, 62.96312
91.8838, 61.10183
92.3854, 61.10624
92.88869, 58.75756
93.38941, 58.15089
93.8913, 60.31789
94.40504, 60.32327
94.8997, 58.12378
95.40102, 58.80346
95.90165, 60.24321
96.40378, 62.7593
96.90655, 60.54005
97.40727, 60.54005
97.9076, 60.54005
98.40781, 58.33596
98.90822, 53.88741
99.40828, 51.56758
99.90889, 51.57516
100.4115, 52.01462
100.9165, 49.8717
101.4168, 52.30683
101.9179, 56.42316
102.4215, 58.40893
102.9227, 53.80695
103.4253, 51.75294
103.9279, 53.99714
104.4304, 56.2799
104.9362, 58.20128
105.4366, 55.95996
105.9366, 58.12923
106.4392, 60.05456
106.9404, 62.29527
107.4418, 55.55352
107.9419, 55.61025
108.4439, 55.353
108.9463, 58.20097
109.4473, 60.22167
109.9474, 59.88913
110.4535, 60.53471
110.951, 61.92665
111.4564, 61.96471
111.9571, 60.14985
112.4597, 60.44773
112.9606, 58.99166
113.4622, 59.01867
113.963, 59.31522
114.4633, 60.85023
114.9674, 63.1008
115.4705, 60.6054
115.9752, 58.41387
116.4776, 58.64913
116.9805, 60.86463
117.4823, 61.09486
117.9851, 61.10352
118.4873, 61.10983
118.9876, 63.32555
119.4876, 58.7289
119.9906, 58.73305
120.4917, 56.66617
120.9986, 56.62051
121.4981, 52.53096
121.9997, 54.76564
122.4999, 56.67709
122.9999, 58.56479
123.5025, 58.20335
124.0031, 58.53373
124.5044, 60.55705
125.0076, 58.62513
125.5103, 58.63335
126.0156, 60.82446
126.5189, 60.53844
127.0189, 56.05488
127.5205, 54.19166
128.0214, 51.81952
128.5236, 53.93174
129.0239, 56.47529
129.5261, 58.01709
130.0286, 58.13464
130.5305, 58.13551
131.0357, 58.17143
131.5361, 58.17999
132.0396, 61.82136
132.5413, 60.05801
133.0513, 60.10672
133.548, 60.66523
134.0506, 58.20956
134.5578, 58.58816
135.0607, 60.72217
135.563, 63.06386
136.0635, 58.90917
136.5658, 58.73418
137.068, 56.85245
137.5709, 61.33015
138.0763, 59.42988
138.5782, 59.25402
139.0808, 59.27862
139.5881, 61.47831
140.0944, 63.92197
140.5946, 61.41977
141.0969, 59.09817
141.5977, 56.90354
191.3602, 52.82935
191.8186, 52.83715
ATTEMPT NO 6
Time, Mean Performance
41.46545, 57.75861
41.96679, 59.33385
42.46774, 61.39169
42.97037, 61.7957
43.47232, 62.12351
43.97949, 62.19283
44.4752, 61.90999
44.97556, 61.98265
45.47644, 62.28498
45.97822, 62.3006
46.48383, 62.62973
46.98552, 61.66443
47.48706, 61.62742
47.98995, 61.62742
48.49294, 62.30381
48.99556, 62.59863
49.49616, 62.33477
50.00468, 62.68073
50.50183, 60.48065
51.00371, 58.26489
51.50793, 58.26513
52.00862, 58.56818
52.51225, 56.60133
53.01395, 56.60666
53.51632, 58.80895
54.01777, 58.57509
54.52288, 56.41602
55.02435, 54.19607
55.52547, 54.53823
56.02913, 52.31739
56.5321, 52.32526
57.03473, 52.31962
57.53797, 50.1157
58.04331, 52.06664
58.54574, 49.86504
59.04882, 51.40029
59.55046, 55.59423
60.05277, 57.62754
60.55373, 53.41383
61.0548, 51.58285
61.55762, 56.13122
62.05776, 58.35653
62.55857, 58.31176
63.06332, 58.3357
63.56701, 60.60632
64.0684, 61.84486
64.57034, 61.21616
65.07061, 61.21734
65.57203, 60.93234
66.07263, 61.22599
66.57283, 61.98996
67.07283, 62.07657
67.57752, 62.3223
68.07764, 62.04825
68.58203, 62.06313
69.08508, 62.04121
69.58627, 62.76498
70.08807, 62.77292
70.59089, 62.82814
71.09354, 62.86617
71.59364, 60.64909
72.0955, 58.7145
72.59571, 58.34759
73.10177, 60.90158
73.60324, 56.60728
74.10394, 56.98837
74.60702, 57.05569
75.10886, 59.31058
75.61107, 59.02383
76.11388, 56.84766
76.61415, 56.87078
77.1149, 52.98666
77.61673, 53.01412
78.11729, 53.24223
78.6178, 51.16529
79.12234, 55.65988
79.62519, 53.13979
80.12764, 52.89702
80.62997, 54.87397
81.13266, 59.22769
81.63537, 57.10131
82.13597, 57.49758
82.63857, 59.73503
83.14284, 62.05463
83.64454, 62.42014
84.14728, 58.21312
84.64769, 60.69992
85.14863, 58.26602
85.65155, 59.18013
86.1519, 59.29465
86.65367, 63.17674
87.15511, 63.20033
87.65797, 64.33273
88.16225, 64.49682
88.66396, 64.94222
89.1646, 65.71577
89.66624, 65.46787
90.16687, 65.54772
90.66998, 65.41724
91.17209, 65.91118
91.67563, 66.01804
92.17786, 63.90225
92.6783, 61.77711
93.18346, 61.87837
93.68659, 64.51672
94.18655, 66.83794
94.68789, 64.94424
95.19177, 65.0136
95.69392, 64.80066
96.19517, 64.92545
96.69701, 62.82477
97.20199, 60.231
97.70312, 58.12444
98.20695, 54.20956
98.71118, 52.10655
99.21299, 54.4209
99.71351, 54.56708
100.2165, 56.57176
100.7169, 58.70314
101.2183, 58.51229
101.7214, 51.82454
102.2221, 50.03198
102.7225, 50.46946
103.225, 58.55973
103.7274, 60.61373
104.2298, 63.12056
104.7348, 65.61036
105.2302, 66.01489
105.7314, 66.14225
106.2324, 65.98329
106.7327, 63.10002
107.2347, 63.20263
107.7372, 62.46524
108.2381, 64.92301
108.7386, 66.83473
109.2419, 65.96773
109.7446, 66.69798
110.2455, 67.12301
110.7458, 69.51626
111.2468, 69.01147
111.7496, 68.73254
112.2507, 68.86788
112.7512, 66.43385
113.2528, 65.33035
113.7539, 65.13745
114.2556, 67.77058
114.7574, 70.12792
115.2619, 70.57328
115.7639, 68.50163
116.265, 68.62867
116.7676, 66.53581
117.2678, 68.88143
117.7683, 68.63564
118.2697, 66.53756
118.7706, 62.22729
119.2731, 60.55517
119.7751, 62.5433
120.2758, 64.87569
120.778, 62.84589
121.2818, 65.50845
121.7836, 67.26267
122.2849, 62.85959
122.7897, 60.78298
123.2933, 59.22072
ATTEMPT NO 7
Time, Mean Performance
42.36729, 57.77132
42.87295, 59.34463
43.37312, 61.40031
43.87484, 61.80259
44.37645, 61.75175
44.8767, 61.43435
45.37815, 61.50804
45.87978, 61.55271
46.38001, 61.90767
46.88012, 62.50354
47.38089, 62.83997
47.88212, 61.87552
48.39154, 61.83826
48.88748, 61.83826
49.39213, 62.50457
49.89451, 62.89534
50.39509, 62.58154
50.89603, 62.60423
51.40191, 60.40079
51.89801, 58.50328
52.40006, 58.50446
52.90051, 58.7384
53.4007, 58.74727
53.90103, 58.49561
54.4036, 60.70353
54.9051, 60.71849
55.40635, 58.51903
55.91188, 56.29358
56.41407, 56.31109
56.91467, 54.43444
57.41573, 54.41381
57.91738, 52.14918
58.41752, 47.74352
58.91916, 47.75003
59.41977, 47.53835
59.92046, 51.43233
60.42224, 53.381
60.92414, 55.04016
61.42443, 53.02698
61.92533, 53.02558
62.4256, 55.85807
62.92603, 53.51167
63.42714, 58.00421
