ATTEMPT, Time, Performance
2,289.8079,23.42427
2,299.826,21.63174
2,309.8343,23.77801
2,319.83,23.29775
2,329.9715,23.5337
2,340.8795,24.88568
2,350.8796,22.73309
2,360.8834,22.71053
2,370.8969,21.50874
2,380.9088,22.62936
2,390.9,22.01025
2,400.9144,25.30928
2,410.9234,24.799
2,420.9313,24.75081
2,430.9889,25.09795
2,441.1745,22.39458
2,451.1755,24.82719
2,461.1887,22.00978
2,471.1913,23.8696
2,481.2046,23.37826
2,491.2197,21.34735
2,501.2137,23.39893
2,511.6553,23.57466
2,522.0347,23.45277
2,532.0404,22.03864
2,542.0366,22.81549
2,552.0381,22.72708
2,562.0489,21.59695
2,572.0579,23.57109
2,582.0692,22.46383
2,594.5433,26.36759
ATTEMPT, Time, Performance
3,19.70194,24.21235
3,29.69985,22.64141
3,39.70055,24.50197
3,49.70451,22.59455
3,59.71217,22.23653
3,69.71217,22.47906
3,79.71378,23.45407
3,89.7238,23.8672
3,99.72945,23.27787
3,109.7309,26.23273
3,119.7316,24.44908
3,129.7331,25.4652
3,139.7336,24.72873
3,149.7357,26.48266
3,159.7364,26.24557
3,169.7378,24.44661
3,179.7393,25.44221
3,189.7399,28.11147
3,199.741,33.20108
3,209.742,34.55852
3,219.7421,36.83183
3,229.7436,36.34115
3,239.744,36.3045
3,249.7487,35.98457
3,259.7501,35.5719
3,269.7523,35.78785
3,279.7525,36.57714
3,289.7539,36.90627
3,299.7545,38.80231
3,309.7553,38.8087
3,319.7582,38.82545
3,329.7589,38.86126
3,339.7589,38.69106
3,349.7593,38.63536
3,359.7617,38.47674
3,369.7648,38.03622
3,379.7679,37.29746
3,389.7686,37.82924
3,399.7687,36.86243
3,409.7714,36.96186
3,419.7729,36.97737
3,429.7729,37.41356
3,439.7744,37.39845
3,449.7766,37.25745
3,459.7795,38.78394
3,469.7818,38.61352
3,479.7827,39.83154
3,489.7841,38.46431
3,499.787,38.69579
3,509.7882,37.29173
3,519.7935,37.17966
3,529.798,37.61907
3,539.8011,37.92624
3,549.8022,38.00537
3,559.8047,37.92113
3,569.806,37.92577
3,579.8079,38.11685
3,589.8099,37.39874
3,599.8102,37.30067
ATTEMPT, Time, Performance
1,19.73251,23.52949
1,29.73804,21.2174
1,39.7495,22.48466
1,49.7475,22.07713
1,59.76041,23.12032
1,69.76022,23.00683
1,79.7984,22.80755
1,89.77981,23.13532
1,99.78178,21.52493
1,109.782,23.04517
1,119.7839,23.20901
1,129.7851,26.00013
1,139.7866,25.83154
1,149.7967,25.92538
1,159.8016,23.24501
1,169.8027,22.69322
1,179.8053,22.93569
1,189.8177,22.45784
1,199.819,24.11822
1,209.8194,23.86197
1,219.8207,23.74575
1,229.8237,23.11528
1,239.8248,24.84049
1,249.827,25.19561
1,259.8278,24.76623
1,269.8371,29.22913
1,279.8404,27.9834
1,289.8406,22.56834
1,299.8432,22.70523
1,309.8449,23.44297
1,319.8462,24.23849
1,329.8541,24.75393
1,339.8622,22.79892
1,349.8609,23.17118
1,359.8618,23.10505
1,369.8647,22.78351
1,379.8676,24.13352
1,389.8751,23.47343
1,399.877,23.90661
1,409.8867,24.28118
1,419.8842,23.9823
1,429.8876,24.09174
1,439.8987,28.78368
1,449.9007,28.81725
1,459.9019,27.87491
1,469.9024,27.99607
1,479.9059,27.41479
1,489.9079,22.95567
1,499.918,23.87679
1,509.9197,24.36457
1,519.9213,24.81578
1,529.9236,23.53958
1,539.9276,23.01021
1,549.9398,25.83277
1,559.938,26.46974
1,569.9396,26.57868
1,579.9409,25.29297
1,589.9434,24.55498
1,599.9453,23.25154
ATTEMPT, Time, Performance
2,19.72375,22.15099
2,29.7194,21.30608
2,39.71975,23.26006
2,49.72078,22.5532
2,59.72099,25.54362
2,69.7337,24.20022
2,79.72974,25.28766
2,89.73209,25.98109
2,99.74703,28.45313
2,109.7437,27.12161
2,119.7504,26.34434
2,129.752,30.55552
2,139.7539,28.81404
2,149.7545,28.12218
2,159.7557,28.34801
2,169.7585,30.54429
2,179.759,31.13302
2,189.7617,31.65195
2,199.7639,32.70946
2,209.7682,28.78345
2,219.7695,29.22368
2,229.7709,30.67504
2,239.7732,33.57756
2,249.7733,33.54264
2,259.7739,46.45945
2,269.7743,47.78542
2,279.7769,47.84103
2,289.7798,48.65355
2,299.781,49.18945
2,309.7834,50.14059
2,319.784,49.76848
2,329.7883,49.86201
2,339.7889,49.80578
2,349.7914,49.63699
2,359.7928,50.21222
2,369.7928,50.10965
2,379.7951,50.6462
2,389.7966,53.7067
2,399.7975,55.05878
2,409.7997,55.05878
2,419.8016,50.40001
2,429.8034,51.61809
2,439.8057,52.46352
2,449.8082,52.24562
2,459.8085,52.69624
2,469.8107,52.52212
2,479.8107,52.20502
2,489.8118,52.08045
2,499.8124,52.61884
2,509.8149,52.96856
2,519.8155,51.088
2,529.8173,54.08258
2,539.8197,54.16694
2,549.8227,52.06499
2,559.8239,51.94967
2,569.8271,52.81328
2,579.8285,52.2755
2,589.8398,52.18641
2,599.8389,52.60504
ATTEMPT, Time, Performance
3,19.7253,23.34048
3,29.72094,21.99119
3,39.72434,25.81327
3,49.72521,24.70102
3,59.72976,27.54905
3,69.72567,27.2393
3,79.73734,24.67111
3,89.74084,25.02023
3,99.73851,22.9482
3,109.7402,25.45218
3,119.7426,25.82439
3,129.7458,28.31971
3,139.7464,25.20321
3,149.7582,25.36869
3,159.7561,25.199
