ATTEMPT, Time, Performance
1,19.72621,22.11467
1,29.72095,21.95821
1,39.7211,21.65748
1,49.72419,20.94191
1,59.72428,26.94669
1,69.72449,27.02253
1,82.11506,31.43679
1,92.11941,31.43679
1,102.1195,29.70915
1,112.1208,31.99156
1,122.1235,33.05907
1,132.1267,34.47297
1,142.1277,35.00054
1,152.1297,36.81245
1,162.1304,37.52575
1,172.1311,39.1665
1,182.1336,39.53229
1,192.134,40.76919
1,202.134,42.73933
1,212.1391,42.4809
1,222.1434,42.04679
1,232.1453,45.08863
1,242.1476,47.30696
1,252.1501,49.66238
1,262.1518,64.67785
1,272.1548,67.54316
1,282.1626,78.47977
1,292.1629,89.02681
1,302.1635,99.27821
1,312.167,90.42439
1,322.1696,97.96789
1,332.1711,98.53165
1,342.1737,98.4914
1,352.1754,91.88721
1,362.1777,90.0831
1,372.181,92.70818
1,382.1823,87.79604
1,392.184,89.70634
1,402.186,98.44539
1,412.1873,96.5867
1,422.1899,94.60786
1,432.1916,89.20378
1,442.1932,88.26253
1,452.194,82.25223
1,462.1989,86.92223
1,472.1998,85.69726
1,482.2003,91.14505
1,492.201,89.07537
1,502.2036,88.37586
1,512.2051,89.16484
1,522.2075,95.45473
1,532.2089,102.6671
1,542.2115,104.3887
1,552.2122,96.81667
1,562.2143,85.30959
1,572.2176,87.21828
1,582.2199,93.21583
1,592.2216,98.23834
1,602.2223,102.2418
1,612.2238,97.09362
1,622.2267,95.76481
1,632.2279,87.6741
1,642.2283,84.49699
1,652.2347,87.71119
1,662.2443,86.64964
1,672.2467,96.07881
1,682.2496,98.29212
1,692.2589,99.01512
1,702.2619,93.59766
1,712.2637,93.25279
1,722.2675,96.08339
1,732.2708,95.73256
1,742.2731,95.18509
1,752.2748,97.33797
1,762.2776,97.16319
1,772.2791,88.58399
1,782.2805,83.03191
1,792.2819,86.75025
1,802.282,93.62067
1,812.2835,92.24764
1,822.2869,91.55357
1,832.2905,94.59138
1,842.2908,93.25199
1,852.2923,92.25357
1,862.2946,98.41145
1,872.2988,103.6473
1,882.3011,101.9089
1,892.3018,99.44756
1,902.3027,98.08439
1,912.304,99.22137
1,922.3069,93.31003
1,932.3098,90.92648
1,942.3103,89.56647
1,952.3112,90.34514
1,962.3134,92.74649
1,972.3141,94.94591
1,982.3157,96.61817
1,992.3185,98.08351
