ATTEMPT, Time, Performance
1,19.7719,21.91622
1,29.78175,20.49985
1,39.81754,21.14875
1,49.8503,21.07587
1,59.88046,22.11137
1,69.91801,22.16672
1,79.91644,24.54179
1,89.91748,27.38018
1,99.94289,28.10678
1,109.9458,32.31862
1,119.9792,32.84262
1,129.9801,35.42923
1,140.0133,34.82946
1,150.0428,35.89078
1,160.0786,36.13918
1,170.0781,36.4464
1,180.1095,37.64801
1,190.1145,38.42021
1,200.1439,38.81262
1,210.1626,39.36539
1,220.1891,44.1757
1,230.1941,48.22692
1,240.2249,57.75307
1,250.2576,63.82355
1,260.2878,312.1129
1,270.2918,317.4038
1,280.293,310.7374
1,290.3253,312.1805
1,300.3556,307.9789
1,310.4009,309.888
1,320.4264,309.6777
1,330.4552,310.0118
1,340.4573,313.6705
1,350.4866,317.3394
1,360.4913,632.0116
1,370.4922,633.0011
1,380.5028,635.9633
1,390.5244,637.3091
1,400.5259,641.0347
1,410.5541,641.9548
1,420.555,644.6157
1,430.554,640.1292
1,440.556,642.7805
1,450.5914,648.941
1,460.5907,644.5006
1,470.5916,636.1554
1,480.6254,636.3608
1,490.6256,636.3608
1,500.6567,638.315
1,510.6891,635.5527
1,520.6899,635.6203
1,530.7214,634.9695
1,540.7275,633.5844
1,550.7234,633.9344
1,560.7261,633.8759
1,570.728,633.9587
1,580.728,633.9587
1,590.7291,633.9587
1,600.7312,636.2633
1,610.733,636.7174
1,620.7353,637.4073
1,630.7355,637.4073
1,640.7388,637.4901
1,650.7433,637.4901
1,660.7444,638.0595
1,670.7496,639.1265
1,680.7516,639.6876
1,690.7655,639.7791
1,700.7658,639.7791
1,710.7678,639.7791
1,720.776,639.9257
1,730.7787,639.9257
1,740.7846,639.7724
1,750.7866,639.7724
1,760.7872,639.8293
1,770.7887,639.8293
1,780.7899,639.8293
1,790.7912,639.8293
1,800.7935,640.4935
1,810.7948,640.4661
1,820.7962,640.4661
1,830.7986,640.4636
1,840.799,641.508
1,850.8068,641.508
1,860.8065,641.508
1,870.8102,641.508
1,880.8128,641.508
1,890.8155,641.508
1,900.8178,640.5488
1,910.8234,642.699
1,920.824,642.9719
1,930.8278,645.8683
1,940.8299,648.3019
1,950.8311,645.0995
1,960.8326,645.0995
1,970.8337,645.0995
1,980.8375,645.9843
1,990.8381,645.9843
1,1000.845,645.9843
1,1010.847,643.9752
1,1020.856,643.9752
1,1030.853,643.9752
